34 36 38 41 44 46 49 52 55 57 60 63 65 67 69 71 73 74 75 76 77 77 77 76 75 73 71 69 66 63 60 56 53 49 45 42 39 37 35 34
36 38 41 44 47 50 53 56 59 62 65 67 69 71 73 75 76 77 78 78 78 78 77 76 74 72 69 67 64 61 58 54 50 47 43 40 38 36 35 34
38 41 44 47 51 54 57 60 63 66 68 70 72 74 75 76 77 78 78 79 79 78 78 76 75 73 71 68 66 63 59 56 52 48 45 42 39 37 35 34
40 43 46 50 54 57 60 63 66 68 70 72 74 75 76 77 78 79 79 79 79 79 78 77 76 74 72 70 67 64 60 57 53 50 46 43 40 38 36 35
42 45 49 53 57 60 63 66 68 70 72 74 75 76 77 78 79 79 80 80 80 79 79 78 77 75 73 71 68 65 62 58 55 51 48 45 42 39 37 35
44 48 52 56 59 62 65 67 69 71 73 75 76 77 78 79 80 80 80 81 81 80 80 79 78 76 74 72 69 66 63 60 56 53 50 47 44 41 38 36
47 51 55 58 61 64 66 68 70 72 74 76 77 78 79 80 81 81 81 82 82 81 81 80 79 77 75 73 70 68 65 62 59 55 52 49 46 43 40 37
50 54 57 60 63 65 67 69 71 73 75 77 78 79 80 81 82 82 82 83 83 82 82 81 80 78 76 74 72 69 66 63 60 57 54 51 48 45 42 39
53 56 59 62 64 66 68 70 72 74 76 78 79 80 81 82 83 83 84 84 84 83 83 82 81 79 77 75 73 71 68 65 62 59 56 53 50 47 44 41
55 58 61 63 65 67 69 71 73 75 77 79 80 81 82 83 84 84 85 85 85 84 84 83 82 80 78 76 74 72 69 66 63 60 57 54 51 48 45 42
58 60 62 64 66 68 70 72 74 76 78 80 81 82 83 84 85 85 86 86 86 85 85 84 83 81 79 77 75 73 70 67 64 61 58 55 52 49 46 43
60 62 64 66 68 70 72 74 76 78 80 82 83 84 85 86 86 87 87 87 87 86 86 85 84 82 80 78 76 74 71 68 65 62 59 56 53 50 47 44
63 65 67 69 71 73 75 77 79 80 82 83 85 86 87 87 88 88 88 88 88 88 87 86 85 83 81 79 77 75 72 69 66 63 60 57 54 51 48 45
65 67 69 71 73 75 77 79 80 82 83 85 86 87 88 89 89 89 90 90 89 89 88 87 86 84 82 80 78 76 73 70 67 64 61 58 55 52 49 46
67 69 71 73 75 77 79 80 82 83 85 86 87 88 89 90 90 91 91 91 91 90 90 89 88 86 84 82 80 77 75 72 69 66 63 60 57 54 51 48
