10 11 12 12 13 14 15 15 16 17 18 18 17 16 15 15 14 13 12 10
11 12 13 14 15 15 16 17 18 19 20 19 18 17 16 15 14 13 12 11
12 13 14 15 16 17 18 19 20 21 21 20 19 18 17 16 15 14 13 12
13 14 15 16 17 18 19 20 21 22 23 22 21 20 19 18 17 16 15 13
14 15 16 17 18 19 20 21 22 23 24 23 22 21 20 19 18 17 16 14
15 16 17 18 19 20 21 23 24 25 26 25 24 23 22 21 20 19 18 15
15 16 17 19 20 21 23 24 26 27 28 27 26 25 23 22 21 20 19 16
16 17 18 20 21 23 24 26 28 29 30 29 28 27 25 24 23 22 21 17
17 18 19 21 23 24 26 28 30 31 32 31 30 29 27 26 24 23 22 18
18 19 20 22 24 26 27 29 31 33 34 33 31 30 28 27 25 24 23 19
18 19 20 22 24 26 27 29 31 33 34 33 31 30 28 27 25 24 23 19
17 18 19 21 23 24 26 28 30 31 32 31 30 29 27 26 24 23 22 18
16 17 18 20 21 23 24 26 28 29 30 29 28 27 25 24 23 22 21 17
15 16 17 19 20 21 23 24 26 27 28 27 26 25 23 22 21 20 19 16
14 15 16 17 18 19 20 21 22 23 24 23 22 21 20 19 18 17 16 14
13 14 15 16 17 18 19 20 21 22 23 22 21 20 19 18 17 16 15 13
12 13 14 15 16 17 18 19 20 21 21 20 19 18 17 16 15 14 13 12
11 12 13 14 15 15 16 17 18 19 20 19 18 17 16 15 14 13 12 11
10 11 12 12 13 14 15 15 16 17 18 18 17 16 15 15 14 13 12 10
9  10 11 12 12 13 14 14 15 16 17 17 16 15 14 14 13 12 11 9
